Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;-0,0631;13,3363;0,09272;10,039;10,764;11,213;11,458;11,847;12,118;12,529;13,336;14,199;14,686;15,026;15,545;15,892;16,571;17,808;9,154;10,122;11,091;12,159;13,336;14,636;16,071;17,657;19,242
1;0,0362;13,3185;0,0936;9,958;10,703;11,162;11,413;11,81;12,085;12,503;13,319;14,185;14,673;15,012;15,529;15,873;16,544;17,759;9,049;10,043;11,038;12,127;13,318;14,623;16,05;17,611;19,172
2;0,1355;13,3006;0,09448;9,874;10,641;11,111;11,367;11,772;12,052;12,476;13,301;14,172;14,659;14,998;15,512;15,854;16,517;17,71;8,941;9,962;10,983;12,094;13,301;14,61;16,029;17,566;19,102
3;0,2347;13,2828;0,09535;9,788;10,577;11,059;11,321;11,734;12,019;12,449;13,283;14,158;14,646;14,983;15,495;15,834;16,489;17,661;8,829;9,879;10,928;12,062;13,283;14,596;16,007;17,52;19,032
4;0,334;13,2649;0,09623;9,698;10,511;11,006;11,274;11,695;11,985;12,422;13,265;14,145;14,632;14,969;15,477;15,813;16,461;17,613;8,712;9,792;10,872;12,029;13,265;14,583;15,985;17,474;18,964
5;0,4333;13,247;0,09711;9,605;10,444;10,952;11,226;11,656;11,952;12,395;13,247;14,131;14,618;14,954;15,459;15,793;16,433;17,565;8,59;9,702;10,815;11,996;13,247;14,569;15,963;17,429;18,895
6;0,5326;13,2292;0,09799;9,509;10,375;10,897;11,178;11,617;11,918;12,368;13,229;14,117;14,605;14,939;15,442;15,772;16,405;17,517;8,463;9,609;10,756;11,963;13,229;14,555;15,94;17,384;18,827
7;0,6319;13,2113;0,09887;9,408;10,304;10,84;11,128;11,577;11,883;12,341;13,211;14,103;14,59;14,924;15,423;15,751;16,376;17,469;8,33;9,513;10,696;11,929;13,211;14,541;15,917;17,339;18,76
8;0,6142;13,2455;0,09866;9,451;10,342;10,877;11,164;11,612;11,918;12,375;13,246;14,138;14,626;14,961;15,461;15,79;16,418;17,516;8,376;9,554;10,733;11,964;13,246;14,577;15,957;17,385;18,813
9;0,5965;13,2796;0,09845;9,493;10,381;10,914;11,2;11,647;11,953;12,41;13,28;14,173;14,662;14,997;15,5;15,829;16,46;17,563;8,422;9,596;10,77;11,998;13,28;14,613;15,997;17,431;18,866
10;0,5789;13,3137;0,09824;9,535;10,419;10,95;11,236;11,682;11,987;12,444;13,314;14,208;14,698;15,034;15,538;15,868;16,501;17,61;8,468;9,637;10,807;12,033;13,314;14,649;16,037;17,477;18,918
