Month;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
61;-0,8886;15,2441;0,09692;11,689;12,412;12,874;13,133;13,55;13,846;14,306;15,244;16,306;16,936;17,388;18,103;18,598;19,605;21,594;10,793;11,77;12,748;13,891;15,244;16,87;18,858;21,34;23,821
62;-0,9068;15,2434;0,09738;11,682;12,405;12,868;13,126;13,544;13,84;14,301;15,243;16,311;16,945;17,402;18,124;18,624;19,643;21,662;10,786;11,763;12,741;13,885;15,243;16,879;18,886;21,403;23,92
63;-0,9248;15,2433;0,09783;11,676;12,399;12,861;13,12;13,538;13,835;14,298;15,243;16,317;16,956;17,416;18,145;18,65;19,681;21,731;10,78;11,757;12,734;13,881;15,243;16,889;18,915;21,468;24,02
64;-0,9427;15,2438;0,09829;11,671;12,393;12,855;13,114;13,533;13,831;14,294;15,244;16,324;16,967;17,431;18,167;18,677;19,721;21,802;10,775;11,752;12,728;13,876;15,244;16,9;18,946;21,535;24,123
65;-0,9605;15,2448;0,09875;11,665;12,387;12,85;13,109;13,529;13,827;14,292;15,245;16,331;16,979;17,447;18,189;18,705;19,763;21,876;10,77;11,746;12,723;13,872;15,245;16,911;18,977;21,603;24,23
66;-0,978;15,2464;0,0992;11,661;12,382;12,845;13,104;13,525;13,824;14,29;15,246;16,339;16,991;17,463;18,212;18,734;19,804;21,95;10,765;11,742;12,718;13,869;15,246;16,923;19,009;21,673;24,337
67;-0,9954;15,2487;0,09966;11,657;12,378;12,841;13,1;13,521;13,821;14,288;15,249;16,347;17,005;17,481;18,237;18,764;19,848;22,027;10,761;11,737;12,714;13,866;15,249;16,936;19,042;21,745;24,448
68;-1,0126;15,2516;0,10012;11,653;12,374;12,837;13,097;13,518;13,819;14,287;15,252;16,357;17,019;17,499;18,262;18,795;19,892;22,106;10,757;11,733;12,71;13,864;15,252;16,95;19,077;21,819;24,561
69;-1,0296;15,2551;0,10058;11,649;12,37;12,834;13,094;13,516;13,817;14,287;15,255;16,367;17,034;17,518;18,289;18,827;19,938;22,187;10,754;11,73;12,706;13,863;15,255;16,964;19,112;21,895;24,678
70;-1,0464;15,2592;0,10104;11,646;12,367;12,831;13,091;13,514;13,816;14,287;15,259;16,377;17,049;17,537;18,316;18,86;19,985;22,27;10,751;11,727;12,703;13,862;15,259;16,979;19,148;21,973;24,797
71;-1,063;15,2641;0,10149;11,645;12,365;12,829;13,09;13,513;13,816;14,288;15,264;16,388;17,065;17,558;18,344;18,894;20,033;22,354;10,749;11,725;12,701;13,862;15,264;16,995;19,185;22,051;24,917
72;-1,0794;15,2697;0,10195;11,643;12,363;12,828;13,089;13,513;13,816;14,29;15,27;16,401;17,083;17,579;18,373;18,929;20,082;22,441;10,747;11,723;12,7;13,862;15,27;17,011;19,224;22,133;25,042
73;-1,0956;15,276;0,10241;11,642;12,362;12,827;13,088;13,513;13,817;14,292;15,276;16,414;17,101;17,601;18,403;18,966;20,133;22,531;10,745;11,722;12,699;13,863;15,276;17,029;19,264;22,217;25,17
