Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
0;-0,3053;13,4069;0,0956;10,104;10,811;11,254;11,498;11,888;12,16;12,578;13,407;14,309;14,826;15,19;15,751;16,13;16,879;18,272;9,235;10,184;11,133;12,201;13,407;14,773;16,326;18,1;19,874
1;-0,1867;13,3976;0,09597;10,038;10,765;11,218;11,467;11,864;12,14;12,563;13,398;14,299;14,813;15,173;15,726;16,098;16,829;18,177;9,147;10,121;11,095;12,182;13,398;14,76;16,29;18,012;19,733
2;-0,0681;13,3883;0,09634;9,971;10,718;11,182;11,436;11,839;12,12;12,548;13,388;14,289;14,799;15,156;15,701;16,066;16,781;18,086;9,056;10,056;11,056;12,162;13,388;14,747;16,254;17,927;19,599
3;0,0505;13,3791;0,09672;9,9;10,67;11,144;11,404;11,815;12,1;12,533;13,379;14,279;14,786;15,139;15,676;16,035;16,734;18;8,961;9,988;11,015;12,143;13,379;14,734;16,219;17,845;19,472
4;0,169;13,3698;0,09709;9,827;10,62;11,106;11,371;11,79;12,079;12,518;13,37;14,27;14,773;15,122;15,652;16,004;16,687;17,916;8,861;9,918;10,974;12,123;13,37;14,721;16,185;17,767;19,349
5;0,2876;13,3606;0,09746;9,75;10,568;11,067;11,338;11,765;12,059;12,503;13,361;14,26;14,759;15,105;15,627;15,974;16,642;17,835;8,757;9,844;10,932;12,103;13,361;14,709;16,151;17,691;19,231
6;0,4062;13,3513;0,09784;9,67;10,515;11,027;11,304;11,739;12,038;12,487;13,351;14,25;14,746;15,088;15,604;15,944;16,598;17,757;8,647;9,768;10,889;12,083;13,351;14,696;16,118;17,618;19,118
7;0,5247;13,3421;0,09821;9,586;10,46;10,986;11,27;11,713;12,017;12,472;13,342;14,24;14,733;15,071;15,58;15,914;16,555;17,682;8,531;9,688;10,844;12,062;13,342;14,683;16,085;17,547;19,009
8;0,5094;13,3843;0,09769;9,644;10,512;11,036;11,318;11,76;12,063;12,517;13,384;14,28;14,773;15,111;15,62;15,954;16,595;17,723;8,594;9,744;10,895;12,108;13,384;14,723;16,125;17,588;19,052
9;0,4941;13,4265;0,09716;9,701;10,565;11,086;11,367;11,807;12,109;12,561;13,427;14,321;14,813;15,151;15,659;15,994;16,635;17,764;8,657;9,801;10,946;12,154;13,426;14,763;16,164;17,629;19,094
10;0,4789;13,4687;0,09664;9,758;10,617;11,136;11,416;11,854;12,155;12,606;13,469;14,362;14,853;15,191;15,699;16,033;16,675;17,805;8,719;9,858;10,996;12,2;13,469;14,803;16,203;17,67;19,136
11;0,4636;13,511;0,09611;9,815;10,67;11,187;11,465;11,902;12,201;12,65;13,511;14,402;14,893;15,23;15,738;16,072;16,714;17,846;8,782;9,914;11,047;12,246;13,511;14,843;16,243;17,71;19,177
12;0,4483;13,5532;0,09559;9,872;10,723;11,237;11,514;11,949;12,247;12,695;13,553;14,443;14,933;15,27;15,777;16,111;16,753;17,886;8,844;9,971;11,098;12,292;13,553;14,883;16,282;17,75;19,219
13;0,433;13,5954;0,09507;9,929;10,775;11,287;11,563;11,996;12,293;12,739;13,595;14,483;14,973;15,309;15,816;16,151;16,793;17,927;8,906;10,027;11,149;12,338;13,595;14,923;16,321;17,79;19,26
14;0,4177;13,6377;0,09454;9,987;10,828;11,337;11,612;12,043;12,339;12,784;13,638;14,524;15,012;15,349;15,855;16,189;16,831;17,966;8,969;10,084;11,2;12,384;13,638;14,963;16,36;17,83;19,3
15;0,4059;13,7174;0,09416;10,065;10,905;11,414;11,69;12,121;12,417;12,863;13,717;14,605;15,095;15,432;15,941;16,276;16,92;18,06;9,047;10,162;11,277;12,462;13,717;15,045;16,447;17,923;19,399
16;0,3946;13,8006;0,0938;10,144;10,985;11,494;11,77;12,201;12,498;12,944;13,801;14,691;15,182;15,52;16,03;16,367;17,014;18,159;9,126;10,241;11,357;12,543;13,801;15,132;16,539;18,021;19,504
17;0,3839;13,8854;0,09347;10,223;11,065;11,575;11,85;12,283;12,58;13,027;13,885;14,778;15,271;15,611;16,123;16,46;17,11;18,261;9,205;10,321;11,437;12,625;13,885;15,221;16,633;18,123;19,612
18;0,3735;13,9707;0,09315;10,303;11,145;11,655;11,932;12,365;12,662;13,11;13,971;14,866;15,361;15,701;16,215;16,555;17,207;18,364;9,283;10,4;11,517;12,707;13,971;15,31;16,728;18,225;19,721
19;0,3636;14,0558;0,09285;10,381;11,224;11,735;12,012;12,446;12,744;13,193;14,056;14,954;15,45;15,792;16,308;16,649;17,305;18,467;9,36;10,479;11,597;12,789;14,056;15,4;16,823;18,327;19,831
20;0,3541;14,1404;0,09257;10,459;11,303;11,815;12,092;12,526;12,825;13,275;14,14;15,041;15,539;15,883;16,401;16,743;17,402;18,569;9,436;10,556;11,676;12,87;14,14;15,489;16,918;18,429;19,94
21;0,3449;14,2241;0,0923;10,535;11,38;11,893;12,17;12,606;12,906;13,357;14,224;15,128;15,628;15,973;16,493;16,836;17,498;18,671;9,511;10,632;11,754;12,951;14,224;15,577;17,012;18,53;20,049
22;0,336;14,3065;0,09204;10,61;11,456;11,97;12,248;12,684;12,985;13,437;14,307;15,213;15,715;16,061;16,583;16,928;17,593;18,772;9,584;10,707;11,831;13,03;14,306;15,664;17,104;18,63;20,156
23;0,3274;14,3877;0,0918;10,683;11,53;12,045;12,324;12,761;13,062;13,515;14,388;15,297;15,801;16,148;16,672;17,019;17,686;18,871;9,656;10,781;11,906;13,107;14,388;15,75;17,196;18,729;20,262
24;0,3191;14,4675;0,09156;10,755;11,604;12,119;12,398;12,837;13,138;13,593;14,468;15,38;15,885;16,234;16,76;17,108;17,778;18,969;9,726;10,853;11,98;13,184;14,468;15,834;17,286;18,825;20,365
25;0,311;14,5457;0,09134;10,825;11,675;12,192;12,471;12,911;13,213;13,668;14,546;15,461;15,968;16,318;16,846;17,196;17,869;19,065;9,795;10,923;12,052;13,258;14,546;15,917;17,374;18,921;20,468
26;0,3032;14,6225;0,09112;10,894;11,745;12,263;12,543;12,983;13,286;13,743;14,623;15,541;16,049;16,401;16,931;17,281;17,957;19,159;9,862;10,992;12,123;13,332;14,622;15,998;17,461;19,014;20,568
27;0,2955;14,6977;0,09092;10,961;11,814;12,332;12,613;13,054;13,358;13,816;14,698;15,619;16,129;16,482;17,014;17,366;18,045;19,252;9,927;11,06;12,192;13,404;14,698;16,077;17,546;19,106;20,667
28;0,2881;14,7714;0,09072;11,027;11,881;12,4;12,682;13,124;13,428;13,887;14,771;15,695;16,207;16,561;17,095;17,449;18,13;19,342;9,992;11,126;12,26;13,474;14,771;16,155;17,629;19,196;20,763
29;0,2809;14,8436;0,09053;11,092;11,947;12,467;12,749;13,192;13,497;13,957;14,844;15,77;16,284;16,639;17,175;17,53;18,214;19,431;10,054;11,19;12,326;13,543;14,844;16,232;17,711;19,284;20,858
30;0,2738;14,914;0,09035;11,155;12,011;12,532;12,815;13,258;13,564;14,025;14,914;15,843;16,359;16,715;17,253;17,609;18,296;19,518;10,116;11,253;12,391;13,61;14,914;16,306;17,791;19,371;20,951
31;0,2669;14,9822;0,09017;11,216;12,073;12,595;12,878;13,323;13,629;14,091;14,982;15,914;16,431;16,788;17,328;17,685;18,375;19,602;10,175;11,315;12,454;13,675;14,982;16,378;17,868;19,454;21,04
