Month;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
61;-0,7387;15,2641;0,0839;12,041;12,72;13,148;13,384;13,764;14,03;14,441;15,264;16,172;16,7;17,074;17,656;18,052;18,845;20,355;11,204;12,118;13,031;14,071;15,264;16,645;18,259;20,166;22,072
62;-0,7621;15,2616;0,08414;12,039;12,716;13,144;13,38;13,759;14,026;14,437;15,262;16,173;16,703;17,079;17,665;18,065;18,865;20,392;11,204;12,115;13,027;14,066;15,262;16,648;18,273;20,2;22,127
63;-0,7856;15,2604;0,08439;12,037;12,714;13,14;13,377;13,756;14,023;14,434;15,26;16,175;16,708;17,086;17,677;18,08;18,887;20,432;11,204;12,114;13,024;14,063;15,26;16,653;18,29;20,238;22,186
64;-0,8089;15,2605;0,08464;12,037;12,712;13,138;13,374;13,754;14,02;14,432;15,26;16,179;16,714;17,095;17,689;18,096;18,911;20,474;11,205;12,114;13,022;14,061;15,26;16,659;18,308;20,277;22,247
65;-0,8322;15,2619;0,0849;12,038;12,711;13,137;13,373;13,752;14,019;14,432;15,262;16,184;16,722;17,106;17,704;18,114;18,937;20,519;11,207;12,114;13,021;14,06;15,262;16,667;18,328;20,32;22,312
66;-0,8554;15,2645;0,08516;12,039;12,712;13,137;13,373;13,752;14,019;14,432;15,264;16,191;16,732;17,118;17,721;18,134;18,965;20,567;11,21;12,115;13,021;14,06;15,264;16,676;18,35;20,365;22,38
67;-0,8785;15,2684;0,08543;12,042;12,713;13,138;13,374;13,753;14,02;14,434;15,268;16,198;16,743;17,131;17,739;18,156;18,995;20,618;11,213;12,117;13,021;14,061;15,268;16,686;18,374;20,413;22,452
68;-0,9015;15,2737;0,0857;12,045;12,715;13,14;13,376;13,755;14,023;14,437;15,274;16,208;16,755;17,146;17,759;18,18;19,028;20,671;11,218;12,121;13,023;14,063;15,274;16,699;18,399;20,463;22,526
69;-0,9243;15,2801;0,08597;12,049;12,718;13,143;13,379;13,758;14,026;14,441;15,28;16,218;16,769;17,163;17,78;18,205;19,062;20,726;11,223;12,125;13,026;14,067;15,28;16,712;18,427;20,515;22,604
70;-0,9471;15,2877;0,08625;12,054;12,722;13,146;13,382;13,762;14,031;14,446;15,288;16,23;16,784;17,181;17,804;18,232;19,098;20,785;11,228;12,129;13,03;14,071;15,288;16,727;18,456;20,571;22,685
71;-0,9697;15,2965;0,08653;12,06;12,727;13,151;13,387;13,767;14,036;14,452;15,296;16,244;16,801;17,201;17,828;18,261;19,136;20,846;11,235;12,135;13,035;14,077;15,296;16,743;18,487;20,628;22,77
72;-0,9921;15,3062;0,08682;12,066;12,733;13,157;13,393;13,773;14,042;14,459;15,306;16,258;16,819;17,221;17,854;18,291;19,176;20,91;11,242;12,141;13,04;14,083;15,306;16,761;18,52;20,689;22,858
73;-1,0144;15,3169;0,08711;12,073;12,739;13,163;13,399;13,78;14,049;14,467;15,317;16,273;16,838;17,244;17,882;18,323;19,217;20,975;11,249;12,148;13,047;14,09;15,317;16,78;18,554;20,751;22,948
74;-1,0365;15,3285;0,08741;12,08;12,746;13,17;13,406;13,787;14,057;14,476;15,328;16,29;16,858;17,267;17,911;18,356;19,261;21,044;11,257;12,155;13,053;14,098;15,328;16,799;18,589;20,816;23,043
75;-1,0584;15,3408;0,08771;12,088;12,753;13,177;13,413;13,795;14,065;14,485;15,341;16,307;16,879;17,291;17,941;18,39;19,305;21,114;11,265;12,163;13,061;14,107;15,341;16,82;18,626;20,883;23,139
76;-1,0801;15,354;0,08802;12,096;12,761;13,185;13,422;13,804;14,075;14,495;15,354;16,326;16,902;17,317;17,972;18,426;19,352;21,188;11,274;12,171;13,069;14,116;15,354;16,842;18,665;20,952;23,24
77;-1,1017;15,3679;0,08833;12,105;12,769;13,193;13,43;13,813;14,084;14,506;15,368;16,345;16,925;17,343;18,004;18,463;19,4;21,263;11,283;12,18;13,077;14,126;15,368;16,864;18,704;21,023;23,343
